Name,Age,G,GS,IP,K%,BB%,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR,Team
Aaron Nola,31,33,33,199.1,24.0%,6.1%,1.35,0.294,79.0%,44.5%,15.6%,3.57,3.94,3.44,3.2,Phillies
Sean Manaea,32,32,32,181.2,24.9%,8.5%,1.04,0.245,74.2%,37.6%,10.2%,3.47,3.83,4.04,2.8,Mets
Zack Wheeler,34,32,32,200,28.5%,6.6%,0.9,0.246,80.1%,42.6%,10.3%,2.57,3.13,3.3,5.4,Phillies
Luis Severino,30,31,31,182,21.2%,7.9%,1.14,0.283,73.7%,46.0%,12.3%,3.91,4.21,4.12,2.1,Mets
Jose Quintana,35,31,31,170.1,18.8%,8.8%,1.16,0.263,78.2%,47.4%,12.6%,3.75,4.56,4.44,1,Mets
Cristopher Sanchez,27,31,31,181.2,20.3%,5.8%,0.54,0.313,71.2%,57.4%,9.3%,3.32,3,3.19,4.7,Phillies
Ranger Suarez,28,27,27,150.2,23.2%,6.5%,0.84,0.299,73.9%,51.9%,12.7%,3.46,3.37,3.26,3.5,Phillies
David Peterson,28,21,21,121,19.8%,9.0%,0.6,0.293,78.4%,50.1%,7.8%,2.9,3.67,4.1,1.9,Mets
Tylor Megill,28,15,15,76,27.1%,9.5%,0.95,0.301,70.5%,40.9%,10.3%,4.03,3.57,3.76,1.4,Mets
Taijuan Walker,31,15,15,74,16.5%,9.6%,2.68,0.32,70.0%,38.1%,22.0%,7.18,6.96,5.14,-0.9,Phillies
Christian Scott,25,9,9,47.1,19.8%,6.1%,1.52,0.272,73.2%,32.4%,11.1%,4.56,4.6,4.71,0.4,Mets
Jose Butto,26,7,7,38,24.4%,13.5%,0.71,0.211,79.4%,39.8%,7.7%,3.08,4.17,4.69,0.5,Mets
Adrian Houser,31,7,7,33.2,12.5%,13.1%,0.8,0.319,52.7%,44.0%,7.1%,8.55,5.28,6,0,Mets
Spencer Turnbull,31,7,7,35.1,27.7%,8.8%,1.02,0.173,90.9%,48.2%,13.8%,1.78,3.68,3.45,0.6,Phillies
Tyler Phillips,26,7,7,32.2,14.5%,4.8%,2.2,0.318,60.3%,43.5%,19.0%,7.44,5.89,4.65,-0.1,Phillies
Paul Blackburn,30,5,5,24.1,19.4%,6.5%,1.48,0.365,69.8%,45.5%,16.0%,5.18,4.69,4.1,0.1,Mets
Kolby Allard,26,4,4,17,16.0%,4.0%,2.12,0.393,81.2%,50.0%,19.0%,5.29,5.34,4.15,0,Phillies
Joey Lucchesi,31,2,2,10.1,15.2%,17.4%,0.87,0.233,68.5%,44.8%,8.3%,5.23,5.39,5.89,0,Mets
Orion Kerkering,23,2,2,2,0.0%,14.3%,0,0.167,100.0%,50.0%,0.0%,0,4.67,5.42,0,Phillies
Michael Mercado,25,2,2,6.2,15.6%,15.6%,4.05,0.211,76.9%,40.9%,25.0%,8.1,9.77,6.64,-0.3,Phillies
Kodai Senga,31,1,1,5.1,45.0%,5.0%,1.69,0.125,76.9%,22.2%,33.3%,3.38,3.35,1.77,0.1,Mets
Julio Teheran,33,1,1,2.2,18.8%,12.5%,3.38,0.5,60.6%,36.4%,20.0%,13.5,8.04,6,-0.1,Mets
Tanner Banks,32,1,1,1.1,12.5%,0.0%,0,0.5,25.0%,40.0%,0.0%,20.25,3.92,6.18,0,Phillies
Seth Johnson,25,1,1,2.1,0.0%,16.7%,3.86,0.5,20.8%,26.7%,12.5%,34.71,12.6,12.21,-0.1,Phillies
