PlayerNameandYear,RBI,R,TeamRuns,HR,H,TB,BB,AB,BAVG,OBP,OPS,WAR,MVPFirstPlaceVotes,JamesRC,RunsAccountedFor,PercentTmRunsAccountedFor,RankAccountedTmRuns,RankAccountedRuns,RankJamesRC,RankOPS,RankWAR,RankHR
"Aaron Judge, 2024",144,122,815,58,180,392,133,559,0.322,0.458,1.159,10.8,30,177.3063583815029,208,0.2552147239263804,Top 2,Other,Top 2,Top 2,Top 2,Other
"Shohei Ohtani, 2024",130,134,842,54,197,411,81,636,0.31,0.39,1.036,9.2,30,159.35564853556485,210,0.2494061757719715,Other,Top 2,Other,Other,Other,Other
"Shohei Ohtani, 2023",95,102,739,44,151,325,91,497,0.304,0.412,1.066,6,30,133.75850340136054,153,0.2070365358592693,Other,Bottom 2,Other,Other,Other,Other
"Ronald Acuna, 2023",106,149,947,41,217,383,80,643,0.337,0.416,1.012,8.2,30,157.33195020746888,214,0.22597676874340022,Other,Top 2,Other,Other,Other,Other
"Aaron Judge, 2022",131,133,807,62,177,391,111,570,0.311,0.425,1.111,10.5,28,165.3568281938326,202,0.2503097893432466,Other,Other,Top 2,Top 2,Other,Top 2
"Paul Goldschmidt, 2022",115,106,772,35,178,324,79,561,0.317,0.404,0.981,7.7,22,130.10625,186,0.24093264248704663,Other,Other,Other,Other,Other,Other
"Shohei Ohtani, 2021",100,103,723,46,138,318,96,537,0.257,0.372,0.965,4.9,30,117.55450236966824,157,0.21715076071922546,Other,Other,Bottom 2,Other,Bottom 2,Other
"Bryce Harper, 2021",84,101,734,35,151,300,100,488,0.309,0.429,1.044,5.9,17,128.0612244897959,150,0.20435967302452315,Other,Bottom 2,Other,Other,Bottom 2,Other
"Mike Trout, 2019",104,110,769,45,137,303,110,470,0.291,0.438,1.083,7.9,17,129.03620689655173,169,0.21976592977893367,Other,Other,Other,Other,Other,Other
"Cody Bellinger, 2019",115,121,886,47,170,351,95,558,0.305,0.406,1.035,8.6,19,142.44257274119448,189,0.21331828442437922,Other,Other,Other,Other,Other,Other
"Mookie Betts, 2018",80,129,876,32,180,333,81,520,0.346,0.438,1.078,10.7,28,144.61397670549084,177,0.20205479452054795,Bottom 2,Other,Other,Other,Top 2,Other
"Christian Yelich, 2018",110,118,754,36,187,343,68,574,0.326,0.402,1,7.3,29,136.23831775700936,192,0.2546419098143236,Other,Other,Other,Other,Other,Other
"Jose Altuve, 2017",81,112,896,24,204,323,58,590,0.346,0.41,0.957,7.7,27,130.59567901234567,169,0.18861607142857142,Bottom 2,Other,Other,Other,Other,Bottom 2
"Giancarlo Stanton, 2017",132,123,778,59,168,377,85,597,0.281,0.376,1.007,7.9,10,139.8548387096774,196,0.2519280205655527,Other,Other,Other,Other,Other,Top 2
"Mike Trout, 2016",100,123,717,29,173,302,116,549,0.315,0.441,0.991,10.5,19,131.24511278195487,194,0.2705718270571827,Top 2,Other,Other,Other,Other,Bottom 2
"Kris Bryant, 2016",102,121,808,39,176,334,75,603,0.292,0.385,0.939,7.3,29,123.64896755162242,184,0.22772277227722773,Other,Other,Bottom 2,Bottom 2,Other,Other
"Josh Donaldson, 2015",123,122,891,41,184,352,73,620,0.297,0.371,0.939,7.1,23,130.53968253968253,204,0.22895622895622897,Other,Other,Other,Bottom 2,Other,Other
"Bryce Harper, 2015",99,118,703,42,172,338,124,521,0.33,0.46,1.109,9.7,30,155.11317829457366,175,0.24893314366998578,Other,Other,Other,Other,Other,Other
